record_id,clause_number,family,split,start_position,valid_tokens,padded_tokens,is_padded
FAR52_0004,52.203-3,203,train,1100,256,0,False
FAR52_0004,52.203-3,203,train,1152,204,52,True
FAR52_0004,52.203-3,203,train,1280,76,180,True
FAR52_0005,52.203-5,203,train,0,256,0,False
FAR52_0005,52.203-5,203,train,128,256,0,False
FAR52_0005,52.203-5,203,train,256,256,0,False
FAR52_0005,52.203-5,203,train,384,256,0,False
FAR52_0005,52.203-5,203,train,512,256,0,False
FAR52_0005,52.203-5,203,train,640,256,0,False
FAR52_0005,52.203-5,203,train,768,256,0,False
FAR52_0005,52.203-5,203,train,896,256,0,False
FAR52_0005,52.203-5,203,train,1024,256,0,False
FAR52_0005,52.203-5,203,train,1152,256,0,False
FAR52_0005,52.203-5,203,train,1280,256,0,False
FAR52_0005,52.203-5,203,train,1408,256,0,False
FAR52_0005,52.203-5,203,train,1536,256,0,False
FAR52_0005,52.203-5,203,train,1562,256,0,False
FAR52_0005,52.203-5,203,train,1664,154,102,True
FAR52_0005,52.203-5,203,train,1792,26,230,True
FAR52_0006,52.203-6,203,train,0,256,0,False
FAR52_0006,52.203-6,203,train,128,256,0,False
FAR52_0006,52.203-6,203,train,256,256,0,False
FAR52_0006,52.203-6,203,train,384,256,0,False
FAR52_0006,52.203-6,203,train,512,256,0,False
FAR52_0006,52.203-6,203,train,640,256,0,False
FAR52_0006,52.203-6,203,train,768,256,0,False
FAR52_0006,52.203-6,203,train,896,256,0,False
FAR52_0006,52.203-6,203,train,1024,256,0,False
FAR52_0006,52.203-6,203,train,1152,256,0,False
FAR52_0006,52.203-6,203,train,1280,256,0,False
FAR52_0006,52.203-6,203,train,1408,256,0,False
FAR52_0006,52.203-6,203,train,1446,256,0,False
FAR52_0006,52.203-6,203,train,1536,166,90,True
FAR52_0006,52.203-6,203,train,1664,38,218,True
FAR52_0007,52.203-7,203,train,0,256,0,False
FAR52_0007,52.203-7,203,train,128,256,0,False
FAR52_0007,52.203-7,203,train,256,256,0,False
FAR52_0007,52.203-7,203,train,384,256,0,False
FAR52_0007,52.203-7,203,train,512,256,0,False
FAR52_0007,52.203-7,203,train,640,256,0,False
FAR52_0007,52.203-7,203,train,768,256,0,False
FAR52_0007,52.203-7,203,train,896,256,0,False
FAR52_0007,52.203-7,203,train,1024,256,0,False
FAR52_0007,52.203-7,203,train,1152,256,0,False
FAR52_0007,52.203-7,203,train,1280,256,0,False
FAR52_0007,52.203-7,203,train,1408,256,0,False
FAR52_0007,52.203-7,203,train,1536,256,0,False
FAR52_0007,52.203-7,203,train,1664,256,0,False
FAR52_0007,52.203-7,203,train,1792,256,0,False
FAR52_0007,52.203-7,203,train,1920,256,0,False
FAR52_0007,52.203-7,203,train,2048,256,0,False
FAR52_0007,52.203-7,203,train,2176,256,0,False
FAR52_0007,52.203-7,203,train,2304,256,0,False
FAR52_0007,52.203-7,203,train,2432,256,0,False
FAR52_0007,52.203-7,203,train,2560,256,0,False
FAR52_0007,52.203-7,203,train,2688,256,0,False
FAR52_0007,52.203-7,203,train,2816,256,0,False
FAR52_0007,52.203-7,203,train,2944,256,0,False
FAR52_0007,52.203-7,203,train,3072,256,0,False
FAR52_0007,52.203-7,203,train,3200,256,0,False
FAR52_0007,52.203-7,203,train,3328,256,0,False
FAR52_0007,52.203-7,203,train,3456,256,0,False
FAR52_0007,52.203-7,203,train,3584,256,0,False
FAR52_0007,52.203-7,203,train,3712,256,0,False
FAR52_0007,52.203-7,203,train,3811,256,0,False
FAR52_0007,52.203-7,203,train,3840,227,29,True
FAR52_0007,52.203-7,203,train,3968,99,157,True
FAR52_0008,52.203-8,203,train,0,256,0,False
FAR52_0008,52.203-8,203,train,128,256,0,False
FAR52_0008,52.203-8,203,train,256,256,0,False
FAR52_0008,52.203-8,203,train,384,256,0,False
FAR52_0008,52.203-8,203,train,512,256,0,False
FAR52_0008,52.203-8,203,train,640,256,0,False
FAR52_0008,52.203-8,203,train,768,256,0,False
FAR52_0008,52.203-8,203,train,896,256,0,False
FAR52_0008,52.203-8,203,train,1024,256,0,False
FAR52_0008,52.203-8,203,train,1152,256,0,False
FAR52_0008,52.203-8,203,train,1280,256,0,False
FAR52_0008,52.203-8,203,train,1290,256,0,False
FAR52_0008,52.203-8,203,train,1408,138,118,True
FAR52_0008,52.203-8,203,train,1536,10,246,True
FAR52_0009,52.203-10,203,validation,0,256,0,False
FAR52_0009,52.203-10,203,validation,128,256,0,False
FAR52_0009,52.203-10,203,validation,256,256,0,False
FAR52_0009,52.203-10,203,validation,384,256,0,False
FAR52_0009,52.203-10,203,validation,512,256,0,False
FAR52_0009,52.203-10,203,validation,640,256,0,False
FAR52_0009,52.203-10,203,validation,768,256,0,False
FAR52_0009,52.203-10,203,validation,896,256,0,False
FAR52_0009,52.203-10,203,validation,1024,256,0,False
FAR52_0009,52.203-10,203,validation,1152,256,0,False
FAR52_0009,52.203-10,203,validation,1280,256,0,False
FAR52_0009,52.203-10,203,validation,1408,256,0,False
FAR52_0009,52.203-10,203,validation,1536,256,0,False
FAR52_0009,52.203-10,203,validation,1664,256,0,False
FAR52_0009,52.203-10,203,validation,1792,256,0,False
FAR52_0009,52.203-10,203,validation,1920,256,0,False
FAR52_0009,52.203-10,203,validation,2048,256,0,False
FAR52_0009,52.203-10,203,validation,2176,256,0,False
FAR52_0009,52.203-10,203,validation,2304,256,0,False
FAR52_0009,52.203-10,203,validation,2432,256,0,False
FAR52_0009,52.203-10,203,validation,2560,256,0,False
FAR52_0009,52.203-10,203,validation,2688,256,0,False
FAR52_0009,52.203-10,203,validation,2816,256,0,False
FAR52_0009,52.203-10,203,validation,2823,256,0,False
FAR52_0009,52.203-10,203,validation,2944,135,121,True
FAR52_0009,52.203-10,203,validation,3072,7,249,True
FAR52_0010,52.203-11,203,train,0,256,0,False
FAR52_0010,52.203-11,203,train,128,256,0,False
FAR52_0010,52.203-11,203,train,256,256,0,False
FAR52_0010,52.203-11,203,train,384,256,0,False
FAR52_0010,52.203-11,203,train,512,256,0,False
FAR52_0010,52.203-11,203,train,640,256,0,False
FAR52_0010,52.203-11,203,train,768,256,0,False
FAR52_0010,52.203-11,203,train,896,256,0,False
FAR52_0010,52.203-11,203,train,1024,256,0,False
FAR52_0010,52.203-11,203,train,1152,256,0,False
FAR52_0010,52.203-11,203,train,1280,256,0,False
FAR52_0010,52.203-11,203,train,1408,256,0,False
FAR52_0010,52.203-11,203,train,1536,256,0,False
FAR52_0010,52.203-11,203,train,1664,256,0,False
FAR52_0010,52.203-11,203,train,1792,256,0,False
FAR52_0010,52.203-11,203,train,1920,256,0,False
FAR52_0010,52.203-11,203,train,2048,256,0,False
FAR52_0010,52.203-11,203,train,2059,256,0,False
FAR52_0010,52.203-11,203,train,2176,139,117,True
FAR52_0010,52.203-11,203,train,2304,11,245,True
FAR52_0011,52.203-12,203,train,0,256,0,False
FAR52_0011,52.203-12,203,train,128,256,0,False
FAR52_0011,52.203-12,203,train,256,256,0,False
FAR52_0011,52.203-12,203,train,512,256,0,False
FAR52_0011,52.203-12,203,train,640,256,0,False
FAR52_0011,52.203-12,203,train,896,256,0,False
FAR52_0011,52.203-12,203,train,1024,256,0,False
FAR52_0011,52.203-12,203,train,1280,256,0,False
FAR52_0011,52.203-12,203,train,1408,256,0,False
FAR52_0011,52.203-12,203,train,1664,256,0,False
FAR52_0011,52.203-12,203,train,1792,256,0,False
FAR52_0011,52.203-12,203,train,2048,256,0,False
FAR52_0011,52.203-12,203,train,2176,256,0,False
FAR52_0011,52.203-12,203,train,2432,256,0,False
FAR52_0011,52.203-12,203,train,2560,256,0,False
FAR52_0011,52.203-12,203,train,2816,256,0,False
FAR52_0011,52.203-12,203,train,2944,256,0,False
FAR52_0011,52.203-12,203,train,3200,256,0,False
FAR52_0011,52.203-12,203,train,3328,256,0,False
FAR52_0011,52.203-12,203,train,3584,256,0,False
FAR52_0011,52.203-12,203,train,3712,256,0,False
FAR52_0011,52.203-12,203,train,3968,256,0,False
FAR52_0011,52.203-12,203,train,4096,256,0,False
FAR52_0011,52.203-12,203,train,4352,256,0,False
FAR52_0011,52.203-12,203,train,4480,256,0,False
FAR52_0011,52.203-12,203,train,4736,256,0,False
FAR52_0011,52.203-12,203,train,4864,256,0,False
FAR52_0011,52.203-12,203,train,5120,256,0,False
FAR52_0011,52.203-12,203,train,5248,256,0,False
FAR52_0011,52.203-12,203,train,5504,256,0,False
FAR52_0011,52.203-12,203,train,5632,256,0,False
FAR52_0011,52.203-12,203,train,5888,256,0,False
FAR52_0011,52.203-12,203,train,6016,256,0,False
FAR52_0011,52.203-12,203,train,6272,256,0,False
FAR52_0011,52.203-12,203,train,6400,256,0,False
FAR52_0011,52.203-12,203,train,6656,256,0,False
FAR52_0011,52.203-12,203,train,6784,256,0,False
FAR52_0011,52.203-12,203,train,7040,256,0,False
FAR52_0011,52.203-12,203,train,7168,256,0,False
FAR52_0011,52.203-12,203,train,7424,256,0,False
FAR52_0011,52.203-12,203,train,7552,256,0,False
FAR52_0011,52.203-12,203,train,7808,256,0,False
FAR52_0011,52.203-12,203,train,7936,256,0,False
FAR52_0011,52.203-12,203,train,8192,256,0,False
FAR52_0011,52.203-12,203,train,8320,256,0,False
FAR52_0011,52.203-12,203,train,8576,256,0,False
FAR52_0011,52.203-12,203,train,8704,256,0,False
FAR52_0011,52.203-12,203,train,8960,256,0,False
FAR52_0011,52.203-12,203,train,9088,256,0,False
FAR52_0011,52.203-12,203,train,9344,256,0,False
FAR52_0011,52.203-12,203,train,9472,256,0,False
FAR52_0011,52.203-12,203,train,9728,256,0,False
FAR52_0011,52.203-12,203,train,9856,256,0,False
FAR52_0011,52.203-12,203,train,10112,256,0,False
FAR52_0011,52.203-12,203,train,10240,256,0,False
FAR52_0011,52.203-12,203,train,10496,256,0,False
FAR52_0011,52.203-12,203,train,10624,256,0,False
FAR52_0011,52.203-12,203,train,10880,256,0,False
FAR52_0011,52.203-12,203,train,11008,256,0,False
FAR52_0011,52.203-12,203,train,11264,256,0,False
FAR52_0011,52.203-12,203,train,11392,256,0,False
FAR52_0011,52.203-12,203,train,11648,256,0,False
FAR52_0011,52.203-12,203,train,11719,256,0,False
FAR52_0011,52.203-12,203,train,11904,71,185,True
FAR52_0012,52.203-13,203,train,0,256,0,False
FAR52_0012,52.203-13,203,train,128,256,0,False
FAR52_0012,52.203-13,203,train,256,256,0,False
FAR52_0012,52.203-13,203,train,384,256,0,False
FAR52_0012,52.203-13,203,train,512,256,0,False
FAR52_0012,52.203-13,203,train,640,256,0,False
FAR52_0012,52.203-13,203,train,896,256,0,False
FAR52_0012,52.203-13,203,train,1024,256,0,False
FAR52_0012,52.203-13,203,train,1152,256,0,False
FAR52_0012,52.203-13,203,train,1280,256,0,False
FAR52_0012,52.203-13,203,train,1408,256,0,False
FAR52_0012,52.203-13,203,train,1536,256,0,False
FAR52_0012,52.203-13,203,train,1792,256,0,False
FAR52_0012,52.203-13,203,train,1920,256,0,False
FAR52_0012,52.203-13,203,train,2048,256,0,False
FAR52_0012,52.203-13,203,train,2176,256,0,False
FAR52_0012,52.203-13,203,train,2304,256,0,False
FAR52_0012,52.203-13,203,train,2432,256,0,False
FAR52_0012,52.203-13,203,train,2688,256,0,False
FAR52_0012,52.203-13,203,train,2816,256,0,False
FAR52_0012,52.203-13,203,train,2944,256,0,False
FAR52_0012,52.203-13,203,train,3072,256,0,False
FAR52_0012,52.203-13,203,train,3200,256,0,False
FAR52_0012,52.203-13,203,train,3456,256,0,False
FAR52_0012,52.203-13,203,train,3584,256,0,False
FAR52_0012,52.203-13,203,train,3712,256,0,False
FAR52_0012,52.203-13,203,train,3840,256,0,False
FAR52_0012,52.203-13,203,train,3968,256,0,False
FAR52_0012,52.203-13,203,train,4096,256,0,False
FAR52_0012,52.203-13,203,train,4352,256,0,False
FAR52_0012,52.203-13,203,train,4480,256,0,False
FAR52_0012,52.203-13,203,train,4608,256,0,False
FAR52_0012,52.203-13,203,train,4736,256,0,False
FAR52_0012,52.203-13,203,train,4864,256,0,False
FAR52_0012,52.203-13,203,train,4992,256,0,False
FAR52_0012,52.203-13,203,train,5248,256,0,False
FAR52_0012,52.203-13,203,train,5376,256,0,False
FAR52_0012,52.203-13,203,train,5504,256,0,False
FAR52_0012,52.203-13,203,train,5632,256,0,False
FAR52_0012,52.203-13,203,train,5760,256,0,False
FAR52_0012,52.203-13,203,train,5888,256,0,False
FAR52_0012,52.203-13,203,train,6144,256,0,False
FAR52_0012,52.203-13,203,train,6272,256,0,False
FAR52_0012,52.203-13,203,train,6400,256,0,False
FAR52_0012,52.203-13,203,train,6528,256,0,False
FAR52_0012,52.203-13,203,train,6656,256,0,False
FAR52_0012,52.203-13,203,train,6912,256,0,False
FAR52_0012,52.203-13,203,train,7040,256,0,False
FAR52_0012,52.203-13,203,train,7168,256,0,False
FAR52_0012,52.203-13,203,train,7296,256,0,False
FAR52_0012,52.203-13,203,train,7424,256,0,False
FAR52_0012,52.203-13,203,train,7552,256,0,False
FAR52_0012,52.203-13,203,train,7808,256,0,False
FAR52_0012,52.203-13,203,train,7936,256,0,False
FAR52_0012,52.203-13,203,train,8064,256,0,False
FAR52_0012,52.203-13,203,train,8192,256,0,False
FAR52_0012,52.203-13,203,train,8320,256,0,False
FAR52_0012,52.203-13,203,train,8448,256,0,False
FAR52_0012,52.203-13,203,train,8704,256,0,False
FAR52_0012,52.203-13,203,train,8832,256,0,False
FAR52_0012,52.203-13,203,train,8960,256,0,False
FAR52_0012,52.203-13,203,train,9088,256,0,False
FAR52_0012,52.203-13,203,train,9118,256,0,False
FAR52_0012,52.203-13,203,train,9344,30,226,True
FAR52_0013,52.203-14,203,train,0,256,0,False
FAR52_0013,52.203-14,203,train,128,256,0,False
FAR52_0013,52.203-14,203,train,256,256,0,False
FAR52_0013,52.203-14,203,train,384,256,0,False
FAR52_0013,52.203-14,203,train,512,256,0,False
FAR52_0013,52.203-14,203,train,640,256,0,False
FAR52_0013,52.203-14,203,train,768,256,0,False
FAR52_0013,52.203-14,203,train,896,256,0,False
FAR52_0013,52.203-14,203,train,1024,256,0,False
FAR52_0013,52.203-14,203,train,1152,256,0,False
FAR52_0013,52.203-14,203,train,1280,256,0,False
FAR52_0013,52.203-14,203,train,1408,256,0,False
FAR52_0013,52.203-14,203,train,1536,256,0,False
FAR52_0013,52.203-14,203,train,1664,256,0,False
FAR52_0013,52.203-14,203,train,1792,256,0,False
FAR52_0013,52.203-14,203,train,1920,256,0,False
FAR52_0013,52.203-14,203,train,1962,256,0,False
FAR52_0013,52.203-14,203,train,2048,170,86,True
FAR52_0013,52.203-14,203,train,2176,42,214,True
FAR52_0014,52.203-15,203,train,0,256,0,False
FAR52_0014,52.203-15,203,train,128,256,0,False
FAR52_0014,52.203-15,203,train,256,256,0,False
FAR52_0014,52.203-15,203,train,384,256,0,False
FAR52_0014,52.203-15,203,train,391,256,0,False
FAR52_0014,52.203-15,203,train,512,135,121,True
FAR52_0014,52.203-15,203,train,640,7,249,True
FAR52_0015,52.203-16,203,train,0,256,0,False
FAR52_0015,52.203-16,203,train,128,256,0,False
FAR52_0015,52.203-16,203,train,256,256,0,False
FAR52_0015,52.203-16,203,train,384,256,0,False
FAR52_0015,52.203-16,203,train,512,256,0,False
FAR52_0015,52.203-16,203,train,640,256,0,False
FAR52_0015,52.203-16,203,train,768,256,0,False
FAR52_0015,52.203-16,203,train,896,256,0,False
FAR52_0015,52.203-16,203,train,1024,256,0,False
FAR52_0015,52.203-16,203,train,1152,256,0,False
FAR52_0015,52.203-16,203,train,1280,256,0,False
FAR52_0015,52.203-16,203,train,1408,256,0,False
FAR52_0015,52.203-16,203,train,1536,256,0,False
FAR52_0015,52.203-16,203,train,1664,256,0,False
FAR52_0015,52.203-16,203,train,1792,256,0,False
FAR52_0015,52.203-16,203,train,1920,256,0,False
FAR52_0015,52.203-16,203,train,2048,256,0,False
FAR52_0015,52.203-16,203,train,2176,256,0,False
FAR52_0015,52.203-16,203,train,2304,256,0,False
FAR52_0015,52.203-16,203,train,2432,256,0,False
FAR52_0015,52.203-16,203,train,2560,256,0,False
FAR52_0015,52.203-16,203,train,2688,256,0,False
FAR52_0015,52.203-16,203,train,2816,256,0,False
FAR52_0015,52.203-16,203,train,2944,256,0,False
FAR52_0015,52.203-16,203,train,3072,256,0,False
FAR52_0015,52.203-16,203,train,3200,256,0,False
FAR52_0015,52.203-16,203,train,3328,256,0,False
FAR52_0015,52.203-16,203,train,3456,256,0,False
FAR52_0015,52.203-16,203,train,3584,256,0,False
FAR52_0015,52.203-16,203,train,3712,256,0,False
FAR52_0015,52.203-16,203,train,3840,256,0,False
FAR52_0015,52.203-16,203,train,3968,256,0,False
FAR52_0015,52.203-16,203,train,4096,256,0,False
FAR52_0015,52.203-16,203,train,4224,256,0,False
FAR52_0015,52.203-16,203,train,4352,256,0,False
FAR52_0015,52.203-16,203,train,4480,256,0,False
FAR52_0015,52.203-16,203,train,4608,256,0,False
FAR52_0015,52.203-16,203,train,4736,256,0,False
FAR52_0015,52.203-16,203,train,4864,256,0,False
FAR52_0015,52.203-16,203,train,4992,256,0,False
FAR52_0015,52.203-16,203,train,5120,256,0,False
FAR52_0015,52.203-16,203,train,5248,256,0,False
FAR52_0015,52.203-16,203,train,5376,256,0,False
FAR52_0015,52.203-16,203,train,5504,256,0,False
FAR52_0015,52.203-16,203,train,5632,256,0,False
FAR52_0015,52.203-16,203,train,5760,256,0,False
FAR52_0015,52.203-16,203,train,5888,256,0,False
FAR52_0015,52.203-16,203,train,6016,256,0,False
FAR52_0015,52.203-16,203,train,6144,256,0,False
FAR52_0015,52.203-16,203,train,6272,256,0,False
FAR52_0015,52.203-16,203,train,6400,256,0,False
FAR52_0015,52.203-16,203,train,6528,256,0,False
FAR52_0015,52.203-16,203,train,6656,256,0,False
FAR52_0015,52.203-16,203,train,6784,256,0,False
FAR52_0015,52.203-16,203,train,6912,256,0,False
FAR52_0015,52.203-16,203,train,7040,256,0,False
FAR52_0015,52.203-16,203,train,7168,256,0,False
FAR52_0015,52.203-16,203,train,7296,256,0,False
FAR52_0015,52.203-16,203,train,7424,256,0,False
FAR52_0015,52.203-16,203,train,7457,256,0,False
FAR52_0015,52.203-16,203,train,7552,161,95,True
FAR52_0015,52.203-16,203,train,7680,33,223,True
FAR52_0016,52.203-17,203,test,0,256,0,False
FAR52_0016,52.203-17,203,test,128,256,0,False
FAR52_0016,52.203-17,203,test,256,256,0,False
FAR52_0016,52.203-17,203,test,384,256,0,False
FAR52_0016,52.203-17,203,test,454,256,0,False
FAR52_0016,52.203-17,203,test,512,198,58,True
FAR52_0016,52.203-17,203,test,640,70,186,True
FAR52_0017,52.203-18,203,train,0,256,0,False
FAR52_0017,52.203-18,203,train,128,256,0,False
FAR52_0017,52.203-18,203,train,256,256,0,False
FAR52_0017,52.203-18,203,train,384,256,0,False
FAR52_0017,52.203-18,203,train,512,256,0,False
FAR52_0017,52.203-18,203,train,640,256,0,False
FAR52_0017,52.203-18,203,train,768,256,0,False
FAR52_0017,52.203-18,203,train,896,256,0,False
FAR52_0017,52.203-18,203,train,1024,256,0,False
FAR52_0017,52.203-18,203,train,1152,256,0,False
FAR52_0017,52.203-18,203,train,1280,256,0,False
FAR52_0017,52.203-18,203,train,1408,256,0,False
FAR52_0017,52.203-18,203,train,1536,256,0,False
FAR52_0017,52.203-18,203,train,1664,256,0,False
FAR52_0017,52.203-18,203,train,1792,256,0,False
FAR52_0017,52.203-18,203,train,1920,256,0,False
FAR52_0017,52.203-18,203,train,2048,256,0,False
FAR52_0017,52.203-18,203,train,2057,256,0,False
FAR52_0017,52.203-18,203,train,2176,137,119,True
FAR52_0017,52.203-18,203,train,2304,9,247,True
FAR52_0018,52.203-19,203,test,0,256,0,False
FAR52_0018,52.203-19,203,test,128,256,0,False
FAR52_0018,52.203-19,203,test,256,256,0,False
FAR52_0018,52.203-19,203,test,384,256,0,False
FAR52_0018,52.203-19,203,test,512,256,0,False
FAR52_0018,52.203-19,203,test,640,256,0,False
FAR52_0018,52.203-19,203,test,768,256,0,False
FAR52_0018,52.203-19,203,test,896,256,0,False
FAR52_0018,52.203-19,203,test,1024,256,0,False
FAR52_0018,52.203-19,203,test,1152,256,0,False
FAR52_0018,52.203-19,203,test,1280,256,0,False
FAR52_0018,52.203-19,203,test,1408,256,0,False
FAR52_0018,52.203-19,203,test,1536,256,0,False
FAR52_0018,52.203-19,203,test,1664,256,0,False
FAR52_0018,52.203-19,203,test,1792,256,0,False
FAR52_0018,52.203-19,203,test,1920,256,0,False
FAR52_0018,52.203-19,203,test,2048,256,0,False
FAR52_0018,52.203-19,203,test,2176,256,0,False
FAR52_0018,52.203-19,203,test,2304,256,0,False
FAR52_0018,52.203-19,203,test,2432,256,0,False
FAR52_0018,52.203-19,203,test,2560,256,0,False
FAR52_0018,52.203-19,203,test,2688,256,0,False
FAR52_0018,52.203-19,203,test,2693,256,0,False
FAR52_0018,52.203-19,203,test,2816,133,123,True
FAR52_0018,52.203-19,203,test,2944,5,251,True
FAR52_0019,52.204-1,204,train,0,256,0,False
FAR52_0019,52.204-1,204,train,26,256,0,False
FAR52_0019,52.204-1,204,train,128,154,102,True
FAR52_0019,52.204-1,204,train,256,26,230,True
FAR52_0020,52.204-2,204,train,0,256,0,False
FAR52_0020,52.204-2,204,train,128,256,0,False
FAR52_0020,52.204-2,204,train,256,256,0,False
FAR52_0020,52.204-2,204,train,384,256,0,False
FAR52_0020,52.204-2,204,train,512,256,0,False
FAR52_0020,52.204-2,204,train,640,256,0,False
FAR52_0020,52.204-2,204,train,768,256,0,False
FAR52_0020,52.204-2,204,train,896,256,0,False
FAR52_0020,52.204-2,204,train,1024,256,0,False
FAR52_0020,52.204-2,204,train,1152,256,0,False
FAR52_0020,52.204-2,204,train,1280,256,0,False
FAR52_0020,52.204-2,204,train,1408,256,0,False
FAR52_0020,52.204-2,204,train,1536,256,0,False
FAR52_0020,52.204-2,204,train,1664,256,0,False
FAR52_0020,52.204-2,204,train,1792,256,0,False
FAR52_0020,52.204-2,204,train,1920,256,0,False
FAR52_0020,52.204-2,204,train,2048,256,0,False
FAR52_0020,52.204-2,204,train,2176,256,0,False
FAR52_0020,52.204-2,204,train,2304,256,0,False
FAR52_0020,52.204-2,204,train,2432,256,0,False
FAR52_0020,52.204-2,204,train,2560,256,0,False
FAR52_0020,52.204-2,204,train,2688,256,0,False
FAR52_0020,52.204-2,204,train,2816,256,0,False
FAR52_0020,52.204-2,204,train,2944,256,0,False
FAR52_0020,52.204-2,204,train,3072,256,0,False
FAR52_0020,52.204-2,204,train,3200,256,0,False
FAR52_0020,52.204-2,204,train,3328,256,0,False
FAR52_0020,52.204-2,204,train,3456,256,0,False
FAR52_0020,52.204-2,204,train,3584,256,0,False
FAR52_0020,52.204-2,204,train,3712,256,0,False
FAR52_0020,52.204-2,204,train,3840,256,0,False
FAR52_0020,52.204-2,204,train,3875,256,0,False
FAR52_0020,52.204-2,204,train,3968,163,93,True
FAR52_0020,52.204-2,204,train,4096,35,221,True
FAR52_0021,52.204-3,204,test,0,256,0,False
FAR52_0021,52.204-3,204,test,128,256,0,False
FAR52_0021,52.204-3,204,test,256,256,0,False
FAR52_0021,52.204-3,204,test,384,256,0,False
FAR52_0021,52.204-3,204,test,512,256,0,False
FAR52_0021,52.204-3,204,test,640,256,0,False
FAR52_0021,52.204-3,204,test,768,256,0,False
FAR52_0021,52.204-3,204,test,896,256,0,False
FAR52_0021,52.204-3,204,test,1024,256,0,False
FAR52_0021,52.204-3,204,test,1152,256,0,False
FAR52_0021,52.204-3,204,test,1280,256,0,False
FAR52_0021,52.204-3,204,test,1408,256,0,False
FAR52_0021,52.204-3,204,test,1536,256,0,False
FAR52_0021,52.204-3,204,test,1664,256,0,False
FAR52_0021,52.204-3,204,test,1792,256,0,False
FAR52_0021,52.204-3,204,test,1920,256,0,False
FAR52_0021,52.204-3,204,test,2048,256,0,False
FAR52_0021,52.204-3,204,test,2176,256,0,False
FAR52_0021,52.204-3,204,test,2304,256,0,False
FAR52_0021,52.204-3,204,test,2405,256,0,False
FAR52_0021,52.204-3,204,test,2432,229,27,True
FAR52_0021,52.204-3,204,test,2560,101,155,True
FAR52_0022,52.204-5,204,train,0,256,0,False
FAR52_0022,52.204-5,204,train,128,256,0,False
FAR52_0022,52.204-5,204,train,256,256,0,False
FAR52_0022,52.204-5,204,train,384,256,0,False
FAR52_0022,52.204-5,204,train,512,256,0,False
FAR52_0022,52.204-5,204,train,598,256,0,False
FAR52_0022,52.204-5,204,train,640,214,42,True
FAR52_0022,52.204-5,204,train,768,86,170,True
FAR52_0023,52.204-6,204,train,0,256,0,False
FAR52_0023,52.204-6,204,train,128,256,0,False
FAR52_0023,52.204-6,204,train,256,256,0,False
FAR52_0023,52.204-6,204,train,384,256,0,False
FAR52_0023,52.204-6,204,train,512,256,0,False
FAR52_0023,52.204-6,204,train,640,256,0,False
FAR52_0023,52.204-6,204,train,768,256,0,False
FAR52_0023,52.204-6,204,train,896,256,0,False
FAR52_0023,52.204-6,204,train,1024,256,0,False
