record_id,clause_number,family,word_count,char_count,length_bin,split
FAR52_0071,52.210-1,210,157,1088,Q2_short,train
FAR52_0072,52.211-1,211,134,945,Q2_short,train
FAR52_0073,52.211-2,211,120,868,Q1_shortest,train
FAR52_0074,52.211-3,211,98,947,Q1_shortest,train
FAR52_0075,52.211-4,211,78,858,Q1_shortest,test
FAR52_0076,52.211-5,211,299,2109,Q3_medium,train
FAR52_0077,52.211-6,211,250,1655,Q3_medium,train
FAR52_0078,52.211-7,211,170,1242,Q2_short,train
FAR52_0079,52.211-8,211,764,4904,Q5_longest,train
FAR52_0080,52.211-9,211,794,5163,Q5_longest,train
FAR52_0081,52.211-10,211,265,1700,Q3_medium,train
FAR52_0082,52.211-11,211,175,1184,Q2_short,validation
FAR52_0083,52.211-12,211,106,716,Q1_shortest,train
FAR52_0084,52.211-13,211,108,677,Q1_shortest,validation
FAR52_0085,52.211-14,211,98,666,Q1_shortest,train
FAR52_0086,52.211-15,211,59,405,Q1_shortest,train
FAR52_0087,52.211-16,211,155,991,Q2_short,test
FAR52_0088,52.211-17,211,139,890,Q2_short,train
FAR52_0089,52.211-18,211,223,1372,Q2_short,train
FAR52_0090,52.212-1,212,1752,11414,Q5_longest,train
FAR52_0091,52.212-2,212,291,2042,Q3_medium,train
FAR52_0092,52.212-3,212,7569,49612,Q5_longest,test
FAR52_0093,52.212-4,212,5999,37707,Q5_longest,validation
FAR52_0094,52.212-5,212,4169,24924,Q5_longest,train
FAR52_0095,52.213-1,213,658,4113,Q4_long,train
FAR52_0096,52.213-2,213,79,470,Q1_shortest,train
FAR52_0097,52.213-3,213,70,433,Q1_shortest,train
FAR52_0098,52.213-4,213,2485,15630,Q5_longest,train
FAR52_0099,52.214-3,214,128,789,Q2_short,validation
FAR52_0100,52.214-4,214,61,373,Q1_shortest,train
FAR52_0101,52.214-5,214,149,969,Q2_short,train
FAR52_0102,52.214-6,214,120,794,Q1_shortest,train
FAR52_0103,52.214-7,214,483,2886,Q4_long,train
FAR52_0104,52.214-10,214,302,1833,Q3_medium,test
FAR52_0105,52.214-12,214,252,1536,Q3_medium,train
FAR52_0106,52.214-14,214,120,959,Q1_shortest,train
FAR52_0107,52.214-15,214,96,571,Q1_shortest,train
FAR52_0108,52.214-16,214,208,1347,Q2_short,train
FAR52_0109,52.214-18,214,163,976,Q2_short,train
FAR52_0110,52.214-19,214,209,1317,Q2_short,train
FAR52_0111,52.214-20,214,490,3118,Q4_long,train
FAR52_0112,52.214-21,214,415,2751,Q4_long,validation
FAR52_0113,52.214-22,214,113,720,Q1_shortest,test
FAR52_0114,52.214-23,214,547,3524,Q4_long,train
FAR52_0115,52.214-24,214,60,435,Q1_shortest,train
FAR52_0116,52.214-25,214,132,845,Q2_short,train
FAR52_0117,52.214-26,214,572,3598,Q4_long,train
FAR52_0118,52.214-27,214,829,5088,Q5_longest,train
FAR52_0119,52.214-28,214,603,3784,Q4_long,train
FAR52_0120,52.214-29,214,64,464,Q1_shortest,train
FAR52_0121,52.214-31,214,284,1911,Q3_medium,train
FAR52_0122,52.214-34,214,51,326,Q1_shortest,train
FAR52_0123,52.214-35,214,55,318,Q1_shortest,validation
FAR52_0124,52.215-1,215,2063,13211,Q5_longest,train
FAR52_0125,52.215-2,215,1113,7196,Q5_longest,validation
FAR52_0126,52.215-3,215,118,770,Q1_shortest,test
FAR52_0127,52.215-5,215,239,1600,Q3_medium,train
FAR52_0128,52.215-6,215,131,1016,Q2_short,train
FAR52_0129,52.215-8,215,65,476,Q1_shortest,train
FAR52_0130,52.215-9,215,415,2604,Q4_long,train
FAR52_0131,52.215-10,215,744,4501,Q5_longest,train
FAR52_0132,52.215-11,215,842,5132,Q5_longest,test
FAR52_0133,52.215-12,215,542,3359,Q4_long,train
FAR52_0134,52.215-13,215,648,4008,Q4_long,train
FAR52_0135,52.215-14,215,269,1701,Q3_medium,validation
FAR52_0136,52.215-15,215,302,1890,Q3_medium,test
FAR52_0137,52.215-16,215,95,598,Q1_shortest,train
FAR52_0138,52.215-17,215,55,332,Q1_shortest,train
FAR52_0139,52.215-18,215,215,1365,Q2_short,train
FAR52_0140,52.215-19,215,226,1479,Q2_short,train
FAR52_0141,52.215-20,215,926,5839,Q5_longest,train
FAR52_0142,52.215-21,215,1141,7168,Q5_longest,train
FAR52_0143,52.215-22,215,294,1854,Q3_medium,train
FAR52_0144,52.215-23,215,738,4896,Q4_long,train
FAR52_0145,52.216-1,216,41,290,Q1_shortest,train
FAR52_0146,52.216-2,216,508,3322,Q4_long,train
FAR52_0147,52.216-3,216,593,3972,Q4_long,test
FAR52_0148,52.216-4,216,636,3945,Q4_long,train
FAR52_0149,52.216-5,216,1653,10502,Q5_longest,train
FAR52_0150,52.216-6,216,1102,7086,Q5_longest,train
FAR52_0151,52.216-7,216,2782,18267,Q5_longest,train
FAR52_0152,52.216-8,216,181,1134,Q2_short,train
FAR52_0153,52.216-9,216,212,1355,Q2_short,train
FAR52_0154,52.216-10,216,972,6161,Q5_longest,train
FAR52_0155,52.216-11,216,192,1196,Q2_short,train
FAR52_0156,52.216-12,216,191,1200,Q2_short,test
FAR52_0157,52.216-15,216,508,3300,Q4_long,validation
FAR52_0158,52.216-16,216,1981,12150,Q5_longest,test
FAR52_0159,52.216-17,216,2836,17366,Q5_longest,train
FAR52_0160,52.216-18,216,212,1263,Q2_short,validation
FAR52_0161,52.216-19,216,269,1696,Q3_medium,train
FAR52_0162,52.216-20,216,208,1341,Q2_short,train
FAR52_0163,52.216-21,216,911,6044,Q5_longest,validation
FAR52_0164,52.216-22,216,254,1610,Q3_medium,train
FAR52_0165,52.216-23,216,97,635,Q1_shortest,train
FAR52_0166,52.216-24,216,72,489,Q1_shortest,train
FAR52_0167,52.216-25,216,456,3081,Q4_long,train
FAR52_0168,52.216-26,216,552,3687,Q4_long,train
FAR52_0169,52.216-27,216,65,398,Q1_shortest,train
FAR52_0170,52.216-28,216,77,509,Q1_shortest,train
FAR52_0171,52.216-29,216,233,1572,Q3_medium,train
FAR52_0172,52.216-30,216,234,1619,Q3_medium,train
FAR52_0173,52.216-31,216,103,749,Q1_shortest,train
FAR52_0174,52.216-32,216,345,2360,Q3_medium,train
FAR52_0175,52.217-2,217,670,4286,Q4_long,test
FAR52_0176,52.217-3,217,83,511,Q1_shortest,train
FAR52_0177,52.217-4,217,80,477,Q1_shortest,train
FAR52_0178,52.217-5,217,83,499,Q1_shortest,train
FAR52_0179,52.217-6,217,104,646,Q1_shortest,train
FAR52_0180,52.217-7,217,121,761,Q1_shortest,train
FAR52_0181,52.217-8,217,119,731,Q1_shortest,train
FAR52_0182,52.217-9,217,152,934,Q2_short,train
FAR52_0183,52.217-10,217,368,2384,Q3_medium,validation
FAR52_0184,52.217-11,217,472,3110,Q4_long,train
FAR52_0185,52.217-12,217,761,5023,Q5_longest,train
FAR52_0186,52.219-1,219,2143,14000,Q5_longest,train
FAR52_0187,52.219-2,219,173,1130,Q2_short,train
FAR52_0188,52.219-3,219,348,2123,Q3_medium,test
FAR52_0189,52.219-4,219,271,1682,Q3_medium,train
FAR52_0190,52.219-6,219,320,2007,Q3_medium,validation
FAR52_0191,52.219-7,219,417,2651,Q4_long,train
FAR52_0192,52.219-8,219,1289,8130,Q5_longest,test
FAR52_0193,52.219-9,219,8553,57774,Q5_longest,train
FAR52_0194,52.219-10,219,235,1629,Q3_medium,train
FAR52_0195,52.219-11,219,310,1930,Q3_medium,train
FAR52_0196,52.219-12,219,246,1556,Q3_medium,train
FAR52_0197,52.219-13,219,168,970,Q2_short,train
FAR52_0198,52.219-14,219,888,5514,Q5_longest,train
FAR52_0199,52.219-16,219,445,2832,Q4_long,train
FAR52_0200,52.219-17,219,283,1763,Q3_medium,train
FAR52_0201,52.219-18,219,428,2550,Q4_long,train
FAR52_0202,52.219-27,219,622,3893,Q4_long,train
FAR52_0203,52.219-28,219,1648,10628,Q5_longest,train
FAR52_0204,52.219-29,219,470,2941,Q4_long,train
FAR52_0205,52.219-30,219,524,3203,Q4_long,validation
FAR52_0206,52.219-31,219,95,598,Q1_shortest,train
FAR52_0207,52.219-32,219,95,553,Q1_shortest,train
FAR52_0208,52.219-33,219,495,2966,Q4_long,train
FAR52_0209,52.222-1,222,67,435,Q1_shortest,train
FAR52_0210,52.222-2,222,306,2069,Q3_medium,train
FAR52_0211,52.222-3,222,304,1808,Q3_medium,train
FAR52_0212,52.222-4,222,544,3550,Q4_long,validation
FAR52_0213,52.222-5,222,175,1034,Q2_short,train
FAR52_0214,52.222-6,222,1330,8287,Q5_longest,train
FAR52_0215,52.222-7,222,195,1201,Q2_short,validation
FAR52_0216,52.222-8,222,908,5731,Q5_longest,train
FAR52_0217,52.222-9,222,812,5199,Q5_longest,train
FAR52_0218,52.222-10,222,46,300,Q1_shortest,train
FAR52_0219,52.222-11,222,494,3216,Q4_long,train
FAR52_0220,52.222-12,222,88,658,Q1_shortest,train
FAR52_0221,52.222-13,222,63,428,Q1_shortest,train
FAR52_0222,52.222-14,222,99,643,Q1_shortest,train
FAR52_0223,52.222-15,222,132,689,Q2_short,train
FAR52_0224,52.222-16,222,158,986,Q2_short,train
FAR52_0225,52.222-18,222,330,2195,Q3_medium,test
FAR52_0226,52.222-19,222,472,3165,Q4_long,train
FAR52_0227,52.222-20,222,216,1310,Q2_short,train
FAR52_0228,52.222-21,222,285,1826,Q3_medium,train
FAR52_0229,52.222-22,222,77,554,Q1_shortest,test
FAR52_0230,52.222-23,222,486,3353,Q4_long,train
FAR52_0231,52.222-24,222,102,708,Q1_shortest,train
FAR52_0232,52.222-25,222,90,572,Q1_shortest,validation
FAR52_0233,52.222-26,222,1433,9390,Q5_longest,train
FAR52_0234,52.222-27,222,2232,14864,Q5_longest,test
FAR52_0235,52.222-29,222,268,1645,Q3_medium,train
FAR52_0236,52.222-30,222,173,1128,Q2_short,train
FAR52_0237,52.222-31,222,315,2051,Q3_medium,validation
FAR52_0238,52.222-32,222,845,5761,Q5_longest,train
FAR52_0239,52.222-33,222,570,3613,Q4_long,train
FAR52_0240,52.222-34,222,861,5663,Q5_longest,train
FAR52_0241,52.222-35,222,239,1569,Q3_medium,train
FAR52_0242,52.222-36,222,228,1466,Q2_short,train
FAR52_0243,52.222-37,222,471,2968,Q4_long,train
FAR52_0244,52.222-38,222,81,532,Q1_shortest,train
FAR52_0245,52.222-40,222,680,4215,Q4_long,train
FAR52_0246,52.222-41,222,3710,23277,Q5_longest,validation
FAR52_0247,52.222-42,222,127,1345,Q2_short,test
FAR52_0248,52.222-43,222,639,4012,Q4_long,train
FAR52_0249,52.222-44,222,420,2704,Q4_long,train
FAR52_0250,52.222-46,222,411,2898,Q4_long,train
FAR52_0251,52.222-48,222,559,3610,Q4_long,train
FAR52_0252,52.222-49,222,170,1110,Q2_short,train
FAR52_0253,52.222-50,222,3220,20893,Q5_longest,train
FAR52_0254,52.222-51,222,410,2626,Q4_long,test
FAR52_0255,52.222-52,222,589,3737,Q4_long,train
FAR52_0256,52.222-53,222,562,3541,Q4_long,train
FAR52_0257,52.222-54,222,1279,8031,Q5_longest,train
FAR52_0258,52.222-55,222,1950,12361,Q5_longest,train
FAR52_0259,52.222-56,222,248,1630,Q3_medium,train
FAR52_0260,52.222-62,222,2558,15274,Q5_longest,train
FAR52_0261,52.223-1,223,123,734,Q1_shortest,train
FAR52_0262,52.223-2,223,265,1682,Q3_medium,train
FAR52_0263,52.223-3,223,698,4701,Q4_long,train
FAR52_0264,52.223-4,223,86,554,Q1_shortest,validation
FAR52_0265,52.223-5,223,175,1109,Q2_short,train
FAR52_0266,52.223-7,223,421,2647,Q4_long,train
FAR52_0267,52.223-9,223,298,2243,Q3_medium,train
FAR52_0268,52.223-10,223,205,1385,Q2_short,test
FAR52_0269,52.223-11,223,301,1994,Q3_medium,train
FAR52_0270,52.223-12,223,344,2296,Q3_medium,train
FAR52_0271,52.223-19,223,70,532,Q1_shortest,train
FAR52_0272,52.223-20,223,248,1665,Q3_medium,train
FAR52_0273,52.223-21,223,246,1657,Q3_medium,validation
FAR52_0274,52.223-22,223,255,1745,Q3_medium,train
FAR52_0275,52.223-23,223,684,4672,Q4_long,test
FAR52_0276,52.224-1,224,96,617,Q1_shortest,train
FAR52_0277,52.224-2,224,445,2801,Q4_long,train
FAR52_0278,52.224-3,224,551,3728,Q4_long,train
FAR52_0279,52.225-1,225,1065,6418,Q5_longest,test
FAR52_0280,52.225-2,225,259,1940,Q3_medium,train
FAR52_0281,52.225-3,225,2160,13100,Q5_longest,train
FAR52_0282,52.225-4,225,554,4428,Q4_long,train
FAR52_0283,52.225-5,225,1199,7773,Q5_longest,validation
FAR52_0284,52.225-6,225,199,1492,Q2_short,train
FAR52_0285,52.225-7,225,340,2185,Q3_medium,train
FAR52_0286,52.225-8,225,756,4857,Q5_longest,train
FAR52_0287,52.225-9,225,2086,13546,Q5_longest,train
FAR52_0288,52.225-10,225,556,3637,Q4_long,train
FAR52_0289,52.225-11,225,2947,19456,Q5_longest,train
FAR52_0290,52.225-12,225,834,5505,Q5_longest,validation
FAR52_0291,52.225-13,225,202,1449,Q2_short,validation
FAR52_0292,52.225-14,225,54,372,Q1_shortest,train
FAR52_0293,52.225-17,225,109,715,Q1_shortest,train
FAR52_0294,52.225-18,225,236,1510,Q3_medium,train
FAR52_0295,52.225-19,225,2204,14519,Q5_longest,train
FAR52_0296,52.225-20,225,322,2250,Q3_medium,test
FAR52_0297,52.225-21,225,1156,8152,Q5_longest,train
FAR52_0298,52.225-22,225,735,4829,Q4_long,train
FAR52_0299,52.225-23,225,2258,16107,Q5_longest,train
FAR52_0300,52.225-24,225,1032,6764,Q5_longest,train
FAR52_0301,52.225-25,225,560,3621,Q4_long,train
FAR52_0302,52.225-26,225,1090,7384,Q5_longest,train
FAR52_0303,52.226-1,226,606,3884,Q4_long,train
FAR52_0304,52.226-2,226,130,869,Q2_short,test
FAR52_0305,52.226-3,226,327,2119,Q3_medium,train
FAR52_0306,52.226-4,226,78,560,Q1_shortest,train
FAR52_0307,52.226-5,226,282,1798,Q3_medium,train
FAR52_0308,52.226-6,226,381,2468,Q3_medium,train
FAR52_0309,52.226-7,226,704,4514,Q4_long,train
FAR52_0310,52.226-8,226,362,2346,Q3_medium,train
FAR52_0311,52.227-1,227,467,2966,Q4_long,train
FAR52_0312,52.227-2,227,205,1331,Q2_short,train
FAR52_0313,52.227-3,227,470,3059,Q4_long,train
FAR52_0314,52.227-4,227,161,1059,Q2_short,train
FAR52_0315,52.227-5,227,85,603,Q1_shortest,test
FAR52_0316,52.227-6,227,242,1536,Q3_medium,train
FAR52_0317,52.227-7,227,115,708,Q1_shortest,validation
FAR52_0318,52.227-9,227,342,2118,Q3_medium,validation
FAR52_0319,52.227-10,227,434,2836,Q4_long,test
FAR52_0320,52.227-11,227,2983,18948,Q5_longest,train
FAR52_0321,52.227-13,227,2643,16908,Q5_longest,train
FAR52_0322,52.227-14,227,3374,21678,Q5_longest,train
FAR52_0323,52.227-15,227,304,2006,Q3_medium,train
FAR52_0324,52.227-16,227,229,1436,Q2_short,train
FAR52_0325,52.227-17,227,761,4733,Q5_longest,train
FAR52_0326,52.227-18,227,252,1587,Q3_medium,train
FAR52_0327,52.227-19,227,345,2312,Q3_medium,train
FAR52_0328,52.227-20,227,1682,10927,Q5_longest,train
FAR52_0329,52.227-21,227,540,3430,Q4_long,train
FAR52_0330,52.227-22,227,114,702,Q1_shortest,train
FAR52_0331,52.227-23,227,90,563,Q1_shortest,train
FAR52_0332,52.228-1,228,265,1603,Q3_medium,train
FAR52_0333,52.228-2,228,163,1040,Q2_short,train
FAR52_0334,52.228-3,228,457,2746,Q4_long,train
FAR52_0335,52.228-4,228,400,2554,Q4_long,test
FAR52_0336,52.228-5,228,221,1450,Q2_short,train
FAR52_0337,52.228-7,228,740,4736,Q4_long,train
FAR52_0338,52.228-8,228,338,2066,Q3_medium,train
FAR52_0339,52.228-9,228,210,1341,Q2_short,train
FAR52_0340,52.228-10,228,145,988,Q2_short,test
FAR52_0341,52.228-11,228,438,2751,Q4_long,validation
FAR52_0342,52.228-12,228,111,656,Q1_shortest,validation
FAR52_0343,52.228-13,228,166,1167,Q2_short,train
FAR52_0344,52.228-14,228,1530,10085,Q5_longest,train
FAR52_0345,52.228-15,228,473,3009,Q4_long,train
FAR52_0346,52.228-16,228,410,2665,Q4_long,train
FAR52_0347,52.228-17,228,149,958,Q2_short,train
FAR52_0348,52.229-1,229,99,611,Q1_shortest,train
FAR52_0349,52.229-2,229,636,3913,Q4_long,train
FAR52_0350,52.229-3,229,545,3321,Q4_long,train
FAR52_0351,52.229-4,229,785,4802,Q5_longest,train
FAR52_0352,52.229-6,229,1032,6231,Q5_longest,train
FAR52_0353,52.229-7,229,260,1560,Q3_medium,validation
FAR52_0354,52.229-8,229,153,960,Q2_short,train
FAR52_0355,52.229-9,229,151,949,Q2_short,train
FAR52_0356,52.229-10,229,562,3582,Q4_long,train
FAR52_0357,52.229-11,229,662,3827,Q4_long,test
FAR52_0358,52.229-12,229,750,4342,Q5_longest,train
FAR52_0359,52.229-13,229,321,2112,Q3_medium,train
FAR52_0360,52.229-14,229,320,2135,Q3_medium,train
FAR52_0361,52.230-1,230,1196,8066,Q5_longest,test
FAR52_0362,52.230-2,230,962,5924,Q5_longest,train
FAR52_0363,52.230-3,230,679,4147,Q4_long,validation
FAR52_0364,52.230-4,230,683,4134,Q4_long,train
FAR52_0365,52.230-5,230,1132,6992,Q5_longest,train
FAR52_0366,52.230-6,230,3035,19116,Q5_longest,train
FAR52_0367,52.230-7,230,119,797,Q1_shortest,train
FAR52_0368,52.232-1,232,143,926,Q2_short,train
FAR52_0369,52.232-2,232,118,805,Q1_shortest,test
FAR52_0370,52.232-3,232,160,1008,Q2_short,test
FAR52_0371,52.232-4,232,84,644,Q1_shortest,train
FAR52_0372,52.232-5,232,1151,7508,Q5_longest,train
FAR52_0373,52.232-6,232,104,713,Q1_shortest,train
FAR52_0374,52.232-7,232,2112,13345,Q5_longest,train
FAR52_0375,52.232-8,232,230,1377,Q2_short,train
FAR52_0376,52.232-9,232,195,1308,Q2_short,train
FAR52_0377,52.232-10,232,411,2720,Q4_long,train
FAR52_0378,52.232-11,232,78,526,Q1_shortest,train
FAR52_0379,52.232-12,232,6413,40970,Q5_longest,train
FAR52_0380,52.232-13,232,144,913,Q2_short,train
FAR52_0381,52.232-14,232,114,728,Q1_shortest,validation
FAR52_0382,52.232-15,232,86,529,Q1_shortest,train
FAR52_0383,52.232-16,232,3152,20492,Q5_longest,train
FAR52_0384,52.232-17,232,451,2649,Q4_long,validation
FAR52_0385,52.232-18,232,96,615,Q1_shortest,train
FAR52_0386,52.232-19,232,120,772,Q1_shortest,train
FAR52_0387,52.232-20,232,638,3923,Q4_long,train
FAR52_0388,52.232-22,232,1039,6413,Q5_longest,train
FAR52_0389,52.232-23,232,282,1654,Q3_medium,train
FAR52_0390,52.232-24,232,52,294,Q1_shortest,train
FAR52_0391,52.232-25,232,2128,13317,Q5_longest,train
FAR52_0392,52.232-26,232,1640,10452,Q5_longest,train
FAR52_0393,52.232-27,232,3275,20922,Q5_longest,train
FAR52_0394,52.232-28,232,442,2984,Q4_long,train
FAR52_0395,52.232-29,232,648,4177,Q4_long,test
FAR52_0396,52.232-30,232,1022,6454,Q5_longest,validation
FAR52_0397,52.232-31,232,391,2432,Q4_long,train
FAR52_0398,52.232-32,232,1899,12401,Q5_longest,train
FAR52_0399,52.232-33,232,867,5379,Q5_longest,train
FAR52_0400,52.232-34,232,1336,8460,Q5_longest,test
FAR52_0401,52.232-35,232,178,1397,Q2_short,train
FAR52_0402,52.232-36,232,535,3348,Q4_long,train
FAR52_0403,52.232-37,232,71,479,Q1_shortest,train
FAR52_0404,52.232-38,232,225,1548,Q2_short,train
FAR52_0405,52.232-39,232,236,1507,Q3_medium,train
FAR52_0406,52.232-40,232,181,1215,Q2_short,validation
FAR52_0407,52.233-1,233,772,4563,Q5_longest,train
FAR52_0408,52.233-2,233,114,735,Q1_shortest,train
FAR52_0409,52.233-3,233,586,3564,Q4_long,train
FAR52_0410,52.233-4,233,43,253,Q1_shortest,train
FAR52_0411,52.234-1,234,251,1675,Q3_medium,train
FAR52_0412,52.234-2,234,371,2510,Q3_medium,validation
FAR52_0413,52.234-3,234,301,2038,Q3_medium,train
FAR52_0414,52.234-4,234,388,2618,Q4_long,test
FAR52_0415,52.236-1,236,134,856,Q2_short,test
FAR52_0416,52.236-2,236,242,1537,Q3_medium,train
FAR52_0417,52.236-3,236,311,2067,Q3_medium,train
FAR52_0418,52.236-4,236,197,1360,Q2_short,train
FAR52_0419,52.236-5,236,315,2135,Q3_medium,train
FAR52_0420,52.236-6,236,70,453,Q1_shortest,train
FAR52_0421,52.236-7,236,118,776,Q1_shortest,train
FAR52_0422,52.236-8,236,106,677,Q1_shortest,validation
FAR52_0423,52.236-9,236,256,1610,Q3_medium,validation
FAR52_0424,52.236-10,236,257,1664,Q3_medium,train
FAR52_0425,52.236-11,236,226,1371,Q2_short,train
FAR52_0426,52.236-12,236,88,566,Q1_shortest,train
FAR52_0427,52.236-13,236,499,3302,Q4_long,train
FAR52_0428,52.236-14,236,254,1699,Q3_medium,train
FAR52_0429,52.236-15,236,369,2398,Q3_medium,test
FAR52_0430,52.236-16,236,350,2249,Q3_medium,train
FAR52_0431,52.236-17,236,200,1261,Q2_short,train
FAR52_0432,52.236-18,236,64,472,Q1_shortest,train
FAR52_0433,52.236-19,236,177,1177,Q2_short,train
FAR52_0434,52.236-21,236,801,5318,Q5_longest,train
FAR52_0435,52.236-22,236,349,2247,Q3_medium,train
FAR52_0436,52.236-23,236,206,1362,Q2_short,train
FAR52_0437,52.236-24,236,53,364,Q1_shortest,train
FAR52_0438,52.236-25,236,72,497,Q1_shortest,train
FAR52_0439,52.236-26,236,71,510,Q1_shortest,train
FAR52_0440,52.236-27,236,144,1161,Q2_short,train
FAR52_0441,52.236-28,236,172,1084,Q2_short,train
FAR52_0442,52.237-1,237,80,492,Q1_shortest,validation
FAR52_0443,52.237-2,237,127,855,Q2_short,test
FAR52_0444,52.237-3,237,317,2067,Q3_medium,train
FAR52_0445,52.237-4,237,516,3302,Q4_long,train
FAR52_0446,52.237-5,237,333,2058,Q3_medium,train
FAR52_0447,52.237-6,237,354,2203,Q3_medium,train
FAR52_0448,52.237-7,237,549,3639,Q4_long,train
FAR52_0449,52.237-8,237,234,1500,Q3_medium,train
FAR52_0450,52.237-9,237,82,479,Q1_shortest,train
FAR52_0451,52.237-10,237,347,2252,Q3_medium,train
FAR52_0452,52.239-1,239,150,1020,Q2_short,validation
FAR52_0453,52.240-1,240,470,3122,Q4_long,train
FAR52_0454,52.241-1,241,128,929,Q2_short,train
FAR52_0455,52.241-2,241,72,468,Q1_shortest,test
FAR52_0456,52.241-3,241,223,1409,Q2_short,train
FAR52_0457,52.241-4,241,103,616,Q1_shortest,train
FAR52_0458,52.241-5,241,387,2552,Q4_long,train
FAR52_0459,52.241-6,241,487,3081,Q4_long,test
FAR52_0460,52.241-7,241,371,2258,Q3_medium,train
FAR52_0461,52.241-8,241,232,1379,Q2_short,train
FAR52_0462,52.241-9,241,1017,6352,Q5_longest,train
FAR52_0463,52.241-10,241,258,1653,Q3_medium,validation
FAR52_0464,52.241-11,241,139,902,Q2_short,train
FAR52_0465,52.241-12,241,114,740,Q1_shortest,train
FAR52_0466,52.241-13,241,174,1102,Q2_short,train
FAR52_0467,52.242-1,242,186,1177,Q2_short,train
FAR52_0468,52.242-2,242,80,523,Q1_shortest,train
